"Obs" "costesal" "indcsal" "ipc" "ipi" "ipri" "mtur" "mvic" "paroreg" "pernhot" "valojhot" "vpoinic" "vpoterm" "epaact"
22 685,04 51,6 20,9 66,6 21,8 43257 10262 892244,01 11202578 2282 18,17 15,84 15746,9
23 709,32 53,5 21,1 67,8 21,9 40266 8942 914922,01 6226540 1367 21,12 14,9 15777,8
24 763,62 57,6 21,3 65,2 21,9 38833 6583 907460,01 5411704 1211 14,48 28,83 15741,3
25 681,92 51,4 22 62,7 22,5 46744 11386 926030,01 6295844 1224 18,23 14,48 15833,8
26 733,14 55,2 22,3 65,6 22,8 37549 9534 942132,01 6446312 1249 16,47 13,21 15974,9
27 746,9 56,3 23,1 71,8 23,6 54185 9551 971755,01 8211822 1600 14,43 13,88 16020,3
28 804,6 60,7 23,4 65,6 24,3 51643 9671 1006054,01 8269014 2288 16,6 14,18 16021,4
29 727,11 54,8 23,6 69,2 24,5 43781 10266 1009418,01 11892779 2536 18,16 16,44 16081,6
30 770,29 58 24 65,8 24,8 42720 9183 1030268,01 12125528 2530 19,96 13,31 16113,1
31 772,78 58,3 24,4 61 25,2 66489 11690 1052957,01 14765664 2906 13,4 18,28 16134,8
32 867,08 65,4 25,1 42,1 25,9 33391 8003 1065625,01 17559680 3191 7,96 7,69 16153,7
33 795,64 59,9 25,6 68,3 26,4 32927 7928 1092512,01 13749362 2955 22,15 14,84 16162,9
34 839,38 63,3 26,1 68,3 27 57521 12801 1107054,01 10550368 2377 18,19 12,55 16293,5
35 837,03 63,1 26,5 67,9 27,2 49047 12426 1112105,01 6041673 1461 15,59 24,39 16300,4
36 933,6 70,4 26,6 68,7 27,4 59054 13862 1130432,01 5339654 1339 10,93 24,14 16366,1
37 848,63 64 26,9 66,3 27,7 29330 8979 1163575,01 5888127 1220 17,08 12,4 16412,6
38 906,66 68,4 27,4 66,5 28 41088 10401 1198232,01 6220609 1342 16,88 11,76 16582,2
39 902,14 68 27,7 68,2 28,1 55732 11733 1222150,01 7600152 1752 11,34 13,47 16608,1
40 1005,72 75,9 28,1 67,2 28,5 52388 13644 1244927,01 9783502 2181 25,16 12,26 16608,4
41 912,74 68,8 28,2 67,8 29 59408 12981 1241935,01 10369049 2368 21,51 13,09 16672
42 977,46 73,7 28,5 70,3 29,4 67537 13336 1243588,01 11427627 2464 14,53 17,54 16791,8
43 969,04 73 28,7 63,2 29,5 82716 15054 1253537,01 13930323 2883 15,02 16,37 16853,2
44 1079,78 81,4 28,9 43,2 29,7 44394 10287 1267916,01 17246341 3291 9,03 6,77 16823,3
45 978,75 73,8 29,1 69,8 29,9 45734 10961 1313064,01 13972871 2912 20,88 13,04 16900,6
46 1039,36 78,4 29,4 72,3 30,3 71291 17433 1360430,01 10871546 2351 20,39 12,36 17101,2
47 1029,46 77,6 29,6 72,9 30,4 68449 15520 1402324,01 6072191 1497 14,45 16,35 17114,2
48 1142,16 86,1 29,7 67,3 30,6 70984 14694 1415626,01 5391706 1351 10,01 31,94 17101,9
49 1031,1 77,7 30,4 68,7 31,3 59510 15519 1477540,01 5783820 1285 18,23 12,57 17168,2
50 1089,46 82,1 31 64,3 31,7 68650 15437 1499582,01 5868855 1308 14,46 18,76 17385
51 1074,24 81 31,2 70,2 32,1 84380 17716 1518273,01 7427075 1931 13,96 13,66 17506,2
52 1193,96 90,1 31,7 64,6 32,4 86095 17504 1526492,01 8401019 2078 15,12 9,75 17610,3
53 1077,83 81,3 32 72,7 32,6 80288 16609 1514763,01 11523422 2842 17,57 18,38 17763,6
54 1140,25 86 32,3 69,9 33,2 79878 16953 1503906,01 12608851 2636 18,93 14,1 17981,3
55 1121,02 84,5 32,5 66,9 33,7 110543 20049 1524224,01 15769196 3067 15,19 18,1 18071,1
56 1247,75 94,1 32,8 44 34,3 59501 12337 1547364,01 19089965 3409 7,28 7,72 17629,2
57 1123,96 84,8 33,3 68,2 34,8 55764 13391 1594291,02 15299157 3102 16,49 11,93 17709,9
58 1192,3 89,9 33,9 72,5 35,2 78690 18966 1649098,02 11080811 2498 27,54 18,41 17906,5
59 1173,11 88,4 34 73,9 35,4 78445 19601 1695172,02 6267225 1591 16,57 14,58 18012,8
60 1302,5 98,2 34,4 65,5 35,7 86520 17828 1743789,02 5463608 1505 25,96 17,76 18136,5
61 1171,44 88,3 35,6 70,2 36,4 81012 18796 1786583,02 5990065 1417 11,18 13,82 18266,9
62 1236,1 93,2 36,4 70 38,1 81713 20034 1816797,02 6424322 1451 13,44 16,97 18463
63 1206,91 91 36,7 70,9 38,4 104756 22192 1801549,02 8078693 1848 12,85 15,95 18495,4
64 1342,37 101,3 36,6 67,6 38,6 75912 18854 1801333,02 9211948 2593 8,57 16,74 18615
65 1204,53 90,8 36,5 71,1 38,6 97868 20550 1792705,02 12166955 2884 13,36 19,82 18751,1
66 1264,4 95,3 36,7 68,1 38,9 102419 21407 1785623,02 13509581 2833 12,42 21,31 18932,4
67 1231,93 92,8 36,9 67,8 39,6 106741 21550 1806906,02 15945371 3105 12,09 16,68 "NA"
68 1369,69 103,3 37,1 40,7 40,1 77493 17115 1826451,02 20207843 3573 5,57 9,82 "NA"
69 1229,84 92,7 37,5 69,3 40,4 69431 17650 1869921,02 16377876 3184 15,32 14,91 "NA"
70 1291,9 97,4 38 75,2 40,9 86576 20762 1967257,02 11434666 2741 12,67 16,53 "NA"
71 1260,1 95 38,3 71,8 41,1 89089 21762 2064600,02 6350147 1690 10,38 18,89 "NA"
72 1404,44 105,9 38,7 68,1 41,5 96210 17875 2150947,02 6006117 1512 12,64 15 "NA"
73 1255,08 94,6 39,2 66,5 42,6 86803 24684 2195631,02 6313786 1480 15 14,08 "NA"
74 1324,41 99,8 39,5 67,8 43 97215 22495 2207866,02 6676178 1602 15,95 14,17 "NA"
75 1289,98 97,3 39,7 71,5 43,3 109727 23822 2172272,02 8034760 2076 11,68 14,53 "NA"
76 1436,16 108,3 40,3 67,5 44,9 94817 22870 2174495,02 9744232 2418 12,04 13,48 "NA"
77 1298,86 97,9 40,5 69,8 45,2 100780 21791 2128344,02 11763539 2797 8,94 13,13 "NA"
78 1363,87 102,8 40,8 69,8 45,6 117883 24789 2138089,02 13438447 2818 11,81 14,26 "NA"
79 1337,07 100,8 41,2 71,2 46 113877 24091 2155982,02 17712855 3202 10,3 15,65 "NA"
80 1489,7 112,3 41,6 39,3 46,6 75610 17908 2186885,02 21306633 3531 3,87 6,57 "NA"
81 1346,71 101,5 42,1 68,1 47 72586 18394 2221560,02 17161637 3212 9,12 14,02 "NA"
82 1418,57 106,9 42,7 72,6 47,4 94609 22557 2265548,02 12326872 2704 10,84 16,22 "NA"
83 1387,77 104,6 43,1 71,1 47,8 91543 22754 2298306,02 7102777 1745 23,75 13,74 "NA"
84 1548,43 116,7 43,5 67,8 48 93923 19820 2342309,02 6521683 1521 11,12 12,44 "NA"
85 1412,52 106,5 44,2 64,4 48,7 85485 24582 2432522,02 6649424 1650 9,92 10,33 "NA"
86 1478,58 111,5 44,9 66 49,8 84873 21601 2452848,02 7187059 1696 9,09 15,12 "NA"
87 "NA" "NA" 45,2 72,7 50,2 105810 24408 2441775,02 9098426 2426 9,18 15,73 "NA"
88 "NA" "NA" 45,5 66,6 50,5 91076 20675 2444123,02 10771022 2438 9,66 12,8 "NA"
89 "NA" "NA" 45,8 70 50,9 96564 24135 2403546,02 14531816 3032 10,85 14,38 "NA"
90 "NA" "NA" 46,1 68 51,1 93946 23270 2393178,02 16684290 2806 9,84 14,44 "NA"
91 "NA" "NA" 46,4 68,6 51,4 107865 24352 2403796,02 20908586 3202 8,45 15,64 "NA"
92 "NA" "NA" 46,7 38,7 51,6 75211 17144 2449035,02 22468047 3643 4,03 6,82 "NA"
93 "NA" "NA" 47,1 70,9 52 51849 15790 2511834,02 18747596 3157 10,33 11,25 "NA"
94 "NA" "NA" 47,9 69,2 52,4 77259 22499 2576820,03 13351046 2719 9,38 15,64 "NA"
95 "NA" "NA" 48,5 71,5 52,8 70702 20963 2591233,03 7407561 1841 8,3 14,72 "NA"
96 "NA" "NA" 48,8 67,3 54,3 66374 16565 2604193,03 6863555 1677 8,63 17,21 "NA"
97 "NA" "NA" 49,6 68,1 55,4 67999 20825 2625652,03 7007931 1582 9,28 12,76 "NA"
98 "NA" "NA" 50,2 67,8 56,3 70579 19026 2668999,03 7694857 1742 8,48 9,77 "NA"
99 "NA" "NA" 50,7 73,8 56,7 77765 19041 2681087,03 9556223 2158 10,52 17,01 "NA"
100 "NA" "NA" 51,1 68,8 57,2 82800 20441 2662018,03 12378427 2918 11,08 11,43 "NA"
101 "NA" "NA" 51,7 72,7 57,7 84266 20543 2627113,03 15541579 2836 10,16 13,08 "NA"
102 "NA" "NA" 52,1 70,8 58,2 84641 20247 2593425,03 17451627 2852 10,13 17,92 "NA"
103 "NA" "NA" 52,5 67,4 58,5 102484 21797 2567523,03 20487520 3103 9,77 13,24 "NA"
104 "NA" "NA" 53 40,6 59 60327 15024 2560406,03 22270654 3652 4,72 8,13 "NA"
105 "NA" "NA" 53,7 71,5 59,5 57349 15302 2600956,03 18644037 3266 11,95 14,15 "NA"
106 "NA" "NA" 54,3 70,7 60,5 81915 21245 2658460,03 13557674 2811 18,08 13,8 "NA"
107 "NA" "NA" 54,9 72,4 61 71270 19777 2726836,03 7775926 1869 13,61 12,44 "NA"
108 "NA" "NA" 55,6 70,5 62,1 72605 19410 2731505,03 7096653 1673 11,9 13,08 "NA"
109 "NA" "NA" 56,4 70,4 62,9 87948 20652 2805584,03 6887510 1542 7,51 10,09 "NA"
110 "NA" "NA" 57,2 71 64 87515 20351 2810345,03 7836715 1623 9,9 8,06 "NA"
111 "NA" "NA" 57,8 73,2 64,4 99159 22382 2803376,03 9884736 2274 7,89 10,92 "NA"
112 "NA" "NA" 58,2 66,5 65 94198 21450 2776794,03 12013588 2421 7,25 11,53 "NA"
113 "NA" "NA" 58,7 73,1 65,4 86356 19535 2703445,03 15240964 2964 9,44 11,31 "NA"
114 "NA" "NA" 59,1 69,7 65,8 96986 21529 2652366,03 16660024 2988 10,48 11,37 "NA"
115 "NA" "NA" 59,5 69,9 66 111299 23329 2645053,03 20287573 3329 11,22 14,1 "NA"
116 "NA" "NA" 59,7 43,4 66,2 51446 12165 2642936,03 22539821 3793 4,2 3,47 "NA"
117 "NA" "NA" 60 69,5 66,5 61318 14765 2710141,03 18472453 3402 8,31 8,3 "NA"
118 "NA" "NA" 60,6 74,6 66,8 74328 19119 2784532,03 13480916 2811 11,45 10,24 "NA"
119 "NA" "NA" 60,9 73,5 67,2 69780 18566 2867088,03 7963149 1884 10,68 9,58 "NA"
120 "NA" "NA" 61,3 67,3 67,5 88066 20547 2901825,03 6991190 1727 9,65 11 "NA"
121 "NA" "NA" 61,8 72,2 69 43143 10573 2972284,03 7105046 1646 9,04 8,69 "NA"
122 "NA" "NA" 62,2 68,9 69,7 60891 13612 2987892,03 7894277 1797 12,06 10,56 "NA"
123 "NA" "NA" 62,4 72,6 70,1 77092 16143 2977427,03 10467955 2236 11,56 10,34 "NA"
124 "NA" "NA" 63 69,1 70,4 67523 13983 2945637,03 11404563 2703 9,3 9,26 "NA"
125 "NA" "NA" 63,2 73,8 70,8 69437 13634 2883874,03 16028827 3147 11,7 11,69 "NA"
126 "NA" "NA" 63,4 68,2 70,8 77284 14784 2838500,03 17512388 3070 9,85 11,19 "NA"
127 "NA" "NA" 63,8 72,9 71 90287 16122 2821307,03 21476190 3329 10,61 14,48 "NA"
128 "NA" "NA" 64,1 42,7 71,3 49918 11334 2811677,03 24825741 3910 6,7 5,05 "NA"
129 "NA" "NA" 64,5 71,9 71,5 52187 11250 2878643,03 19653029 3696 14,19 9,5 "NA"
130 "NA" "NA" 64,5 80,6 71,8 58109 13130 2951118,03 14515500 2806 10,36 11,53 "NA"
131 "NA" "NA" 65 75,7 72 57910 13605 2997815,03 8301025 1795 10,15 11,88 "NA"
132 "NA" "NA" 65 70,2 72 71658 14271 3023646,03 7548769 1706 10,58 10,19 "NA"
133 "NA" "NA" 65,4 72 71,6 54977 11308 3069088,03 7597124 1545 11,42 9,59 "NA"
134 "NA" "NA" 65,7 71,7 71,8 64490 13356 3041614,03 8567160 1732 9,26 9,11 "NA"
135 "NA" "NA" 65,8 71,3 71,6 88819 15725 2995718,03 10691947 2181 12,63 9,48 "NA"
136 "NA" "NA" 65,9 77 71,6 72145 13697 2940281,03 13429032 2696 10,1 11,26 "NA"
137 "NA" "NA" 66,1 74,3 71,8 89907 14387 2878041,03 16963253 2997 10,53 8,05 "NA"
138 "NA" "NA" 66,3 75,3 71,8 98017 15630 2823719,03 18709302 3024 9,75 10,45 "NA"
139 "NA" "NA" 66,3 76,3 71,9 104812 14839 2776042,03 22322939 3503 9,82 14,16 "NA"
140 "NA" "NA" 66,6 41 71,2 65899 11787 2744761,03 25664414 4069 6,58 5,2 "NA"
141 "NA" "NA" 67,1 75 71,3 65201 12209 2743503,03 21140783 3625 9,57 6,52 "NA"
142 "NA" "NA" 67,4 81,7 71,5 71931 14909 2756466,03 16292931 2941 11,23 7,07 "NA"
143 "NA" "NA" 67,5 77,3 71,1 68761 15728 2762101,03 8899445 1934 10,85 8,6 "NA"
144 "NA" "NA" 67,6 71,7 71,2 93883 18911 2768526,03 8077382 1806 23,32 7,68 "NA"
145 "NA" "NA" 67,8 71,3 71,4 54513 12511 2772656,03 10406167 1632 9,19 7,81 "NA"
146 "NA" "NA" 68,1 74,8 71,4 66954 13955 2740422,03 11451100 1926 8,5 7,4 "NA"
147 "NA" "NA" 68,3 78,7 71,6 95812 17862 2697535,03 14212113 2608 8,59 8,35 "NA"
148 "NA" "NA" 68,4 74,4 71,8 74758 14199 2652465,03 17472798 2895 9,08 12,68 "NA"
149 "NA" "NA" 68,6 78,4 71,9 82887 16944 2580404,03 21966528 3479 10,53 11,75 "NA"
150 "NA" "NA" 68,6 79,2 72 104472 17529 2532767,03 24313223 3527 8,43 11,12 "NA"
151 "NA" "NA" 68,7 83,8 72,3 77071 15922 2474896,03 28531434 3898 8,64 17,04 "NA"
152 "NA" "NA" 69 43,2 72,4 53236 12047 2454568,02 31967269 4242 5,51 8,58 "NA"
153 "NA" "NA" 68,7 80,1 72,4 52302 11678 2417856,02 26750512 3984 8,85 10,07 "NA"
154 "NA" "NA" 69 83,1 72,6 63463 14994 2430608,02 21402806 3183 12,13 9,8 "NA"
155 "NA" "NA" 69 82,3 72,6 66334 15515 2422898,02 11875758 2126 12,38 10,12 "NA"
156 "NA" "NA" 69,4 75 73 78598 16177 2426572,02 10189931 1950 16,63 10,9 "NA"
157 "NA" "NA" 69,5 73,5 73,2 59844 13681 2448420,02 9828017 1787 9,48 10,03 "NA"
158 "NA" "NA" 69,7 78,6 73,4 77137 14448 2445985,02 11453033 1996 8,43 10,3 "NA"
159 "NA" "NA" 70 84,2 73,5 100551 16006 2416032,02 14537790 2586 9,54 8,61 "NA"
160 "NA" "NA" 70,3 77,4 73,9 79007 15834 2383504,02 18006005 3527 8,21 10,47 "NA"
161 "NA" "NA" 70,3 82,4 73,7 87914 17779 2330636,02 20998662 3639 10,78 12,43 "NA"
162 "NA" "NA" 70,4 81,7 74,1 83813 16174 2295151,02 24084078 3680 25,13 13,7 "NA"
163 "NA" "NA" 70,7 81,1 74,4 108708 18020 2262427,02 28181545 4009 10,41 14,45 "NA"
164 "NA" "NA" 71,1 45,9 74,5 55298 12089 2273836,02 31282474 4370 6,27 6,08 "NA"
165 "NA" "NA" 71,4 82,1 74,8 63498 14112 2300372,02 26175432 4075 13,05 11,16 "NA"
166 "NA" "NA" 71,5 82,2 74,9 84889 20112 2344848,02 20400125 3418 14,15 10,38 "NA"
167 "NA" "NA" 71,7 86,2 75,3 75800 18517 2347753,02 11871141 2282 10,89 12,41 "NA"
168 "NA" "NA" 71,7 77 75,5 91657 20542 2351246,02 10325261 2060 15,48 15,32 "NA"
169 "NA" "NA" 72,3 82 76 73652 17638 2359410,02 10132886 1807 8,2 11,02 "NA"
170 "NA" "NA" 73 80,4 76,6 78974 17118 2362373,02 11753586 2051 9,09 9,95 "NA"
171 "NA" "NA" 73,3 84,2 76,8 103278 19010 2340503,02 14516657 2756 9,21 11,3 "NA"
172 "NA" "NA" 73,5 83,1 76,9 95946 21493 2309305,02 18085751 3442 9,94 9,19 "NA"
173 "NA" "NA" 73,8 85,3 77 94226 20635 2254792,02 21063744 3841 11,4 10,51 "NA"
174 "NA" "NA" 73,9 87,7 77,1 100062 20923 2227748,02 23896573 3887 11,14 14,76 "NA"
175 "NA" "NA" 74,1 85,2 77,7 126439 23776 2194989,02 28657024 4139 10,54 16,24 "NA"
176 "NA" "NA" 74,4 48,9 77,8 64475 15111 2193090,02 32004309 4574 6,02 5,69 "NA"
177 "NA" "NA" 74,5 85,5 77,9 69501 15959 2252766,02 26584837 4205 9,56 7,57 "NA"
178 "NA" "NA" 74,9 87,4 78,1 95614 22503 2316605,02 20014768 3543 13,39 13,75 "NA"
179 "NA" "NA" 75 88,6 78,1 84340 20070 2326787,02 11920037 2362 14,43 10,03 "NA"
180 "NA" "NA" 75,2 75,5 78,1 104276 22043 2329257,02 10051397 2124 9,5 9,97 "NA"
181 "NA" "NA" 75,4 85,5 78,6 78494 19101 2335922,02 9797644 1865 7,83 9,37 "NA"
182 "NA" "NA" 75,7 80,5 78,8 94249 20807 2337472,02 11501625 2212 7,37 10,4 "NA"
183 "NA" "NA" 75,8 88,3 78,6 120207 23805 2326678,02 15746849 3075 10,06 9,12 "NA"
184 "NA" "NA" 75,8 78,2 78,6 108310 23138 2285617,02 15757341 3329 8,31 11,8 "NA"
185 "NA" "NA" 76,1 87,2 78,8 107003 21642 2217990,02 20427391 4081 9,17 12,86 "NA"
186 "NA" "NA" 76,1 87,2 78,6 124611 24459 2186941,02 22781460 4085 8,46 10,71 "NA"
187 "NA" "NA" 76,2 85 78,4 146965 26971 2142894,02 27712421 4554 10,05 12,06 "NA"
188 "NA" "NA" 76,2 48,7 78,8 72185 17313 2134101,02 32147464 5091 5,86 7,31 "NA"
189 "NA" "NA" 76,3 83,4 79,5 79475 18803 2195356,02 25483036 4593 8,65 11,37 "NA"
190 "NA" "NA" 76,5 86,1 80 113394 24018 2272093 19395671 3816 8,88 8,88 "NA"
191 "NA" "NA" 76,3 88,9 79,9 110547 25114 2322773 11536070 2533 8,78 11,53 "NA"
192 "NA" "NA" 76,5 75,2 79,9 127530 26136 2360406 10267810 2362 6,37 13,25 "NA"
193 "NA" "NA" 76,7 84,5 80,4 88938 22143 2422516 10100079 2120 5,81 6,87 "NA"
194 "NA" "NA" 77,2 80,6 80,3 115718 25326 2471228 11093700 2480 6,33 8,19 "NA"
195 "NA" "NA" 77,6 78,8 79,9 157049 29929 2528953 14407171 3164 6,57 6,13 "NA"
196 "NA" "NA" 77,9 83,2 79,9 120868 25917 2510023 17304950 3999 5,73 6,8 "NA"
197 "NA" "NA" 78,2 84,7 80 130869 27791 2485652 20955971 4492 6,25 8,8 "NA"
198 "NA" "NA" 78,6 83,3 80 155497 30285 2520990 24049338 4455 5,91 12,1 "NA"
199 "NA" "NA" 78,7 85,1 80,2 170428 31565 2497419 28489355 4940 5,75 17,25 "NA"
200 "NA" "NA" 78,8 48 80,2 89970 20288 2472185 33891598 5474 3,41 6,28 "NA"
201 "NA" "NA" 78,9 83,7 80,3 97469 21938 2532127 25933307 5039 7,76 8,03 "NA"
202 "NA" "NA" 79,5 91 80,4 121143 25018 2628109 19606567 4259 5,82 11,85 "NA"
203 "NA" "NA" 79,6 86,4 80,5 124069 28866 2679657 "NA" 2813 6,67 10,77 "NA"
204 "NA" "NA" 79,6 77,6 80,4 130513 27860 2705842 "NA" 2547 9,02 19,12 "NA"
205 "NA" "NA" 80,4 81,7 81 102861 23360 2769474 "NA" 2776 4,95 7,68 "NA"
206 "NA" "NA" 80,7 82,3 81 129416 27214 2774579 "NA" 3206 3,5 8,71 "NA"
207 "NA" "NA" 80,7 84,9 81,1 155434 32197 2761241 "NA" 4143 4,01 8,06 "NA"
208 "NA" "NA" 80,7 80,1 81,3 130722 24651 2736431 "NA" 4931 5,33 7,63 "NA"
209 "NA" "NA" 80,7 81,7 81,3 134991 28252 2679410 "NA" 5725 4,68 10,15 "NA"
210 "NA" "NA" 80,7 83,7 81,3 152985 30001 2643772 "NA" 5834 4,14 13,22 "NA"
211 "NA" "NA" 80,7 85,1 81,3 158495 27506 2560305 "NA" 6415 3,73 15,84 "NA"
212 "NA" "NA" 80,8 47,9 81,3 90741 19476 2530857 "NA" 6986 2,54 5,8 "NA"
213 "NA" "NA" 81 80,5 81,3 91615 20042 2561084 "NA" 6350 4,71 7,74 "NA"
214 "NA" "NA" 81,4 82 81,5 106576 25102 2590421 "NA" 5448 6,63 9,71 "NA"
215 "NA" "NA" 81,4 79,2 81,6 110689 26663 2599893 "NA" 3571 4,47 8,81 "NA"
216 "NA" "NA" 81,6 70,6 81,7 102635 21083 2556829 "NA" 3204 7,93 11,11 "NA"
217 "NA" "NA" 82,6 71,8 82,3 98855 22724 2586429 "NA" 2809 4,47 6,4 "NA"
218 "NA" "NA" 82,5 73,5 82,4 123550 25167 2575873 "NA" 3391 4,12 7,8 "NA"
219 "NA" "NA" 82,6 79,8 82,4 156510 28623 2547095 "NA" 4244 3,41 11,13 "NA"
220 "NA" "NA" 82,7 73,5 82,5 127732 23705 2499091 "NA" 5335 2,81 8,48 "NA"
221 "NA" "NA" 83 77,6 82,8 141471 26601 2459670 "NA" 5592 3,38 11,37 "NA"
222 "NA" "NA" 83,3 78,8 82,9 157402 26500 2429674 "NA" 5807 3,37 10,39 "NA"
223 "NA" "NA" 83,6 79,4 83,3 168514 25944 2364329 "NA" 6374 3,21 13,39 "NA"
224 "NA" "NA" 84,1 46,3 83,7 93625 18037 2346453 "NA" 6995 1,96 4,14 "NA"
225 "NA" "NA" 84,5 79,2 83,9 88244 17976 2384273 "NA" 6328 4 8,27 "NA"
226 "NA" "NA" 84,7 79,1 84,1 118303 24789 2398763 "NA" 5369 4,73 6,88 "NA"
227 "NA" "NA" 84,9 81,1 84,2 113488 24601 2418934 "NA" 3691 6,15 8,51 "NA"
228 "NA" "NA" 85,2 74,9 84,3 111155 22774 2376951 "NA" 3348 6,97 14,24 "NA"
229 "NA" "NA" 86,2 74,2 85,3 102641 21766 2421863 "NA" 3005 2,73 6,88 "NA"
230 "NA" "NA" 86,6 77,5 85,7 111442 21163 2427015 "NA" 3519 3,9 6,91 "NA"
231 "NA" "NA" 86,7 84,3 85,8 133241 23022 2406095 "NA" 4333 4,42 7,38 "NA"
232 "NA" "NA" 86,8 79 85,9 119478 23485 2335425 "NA" 5385 4,34 7,32 "NA"
233 "NA" "NA" 86,9 83,1 86,2 134678 25333 2267851 "NA" 5673 3,72 7,27 "NA"
234 "NA" "NA" 87 85,9 86,5 131672 23594 2234702 "NA" 5914 3,47 9,12 "NA"
235 "NA" "NA" 87,4 83,6 86,8 159921 26960 2170789 "NA" 6406 3,13 6,53 "NA"
236 "NA" "NA" 87,5 52,3 87 85406 17039 2143783 "NA" 7179 2,98 4,29 "NA"
237 "NA" "NA" 87,9 85,4 87,3 86662 17787 2194889 "NA" 6307 2,91 5,45 "NA"
238 "NA" "NA" 88,2 85 87,8 118911 25620 2234988 "NA" 5310 4,72 7,13 "NA"
239 "NA" "NA" 88,5 88,9 88,3 104093 23688 2251332 "NA" 3658 2,95 6,85 "NA"
240 "NA" "NA" 88,6 81,4 88,8 120281 23670 2216092 "NA" 3215 3,96 6,66 "NA"
241 "NA" "NA" 89,5 84,9 90,2 98424 22531 2256498 "NA" 2873 2,18 5,38 "NA"
242 "NA" "NA" 90,5 82,7 91,3 105464 23240 2262721 "NA" 3508 3,11 5,55 "NA"
243 "NA" "NA" 91,1 92,8 91,9 129118 26637 2227472 "NA" 4757 1,85 6,35 "NA"
244 "NA" "NA" 91,2 79,3 92,2 129003 25737 2181673 "NA" 4853 2,27 5,02 "NA"
245 "NA" "NA" 91,4 91,2 92,5 128330 26668 2123807 "NA" 5677 2,76 5,41 "NA"
246 "NA" "NA" 91,5 91,8 92,6 147037 27997 2091926 "NA" 5726 3,14 6,41 "NA"
247 "NA" "NA" 91,7 86,5 92,7 173071 31225 2009232 "NA" 6408 4,41 6,35 "NA"
248 "NA" "NA" 92,1 54,9 92,8 90285 19316 1989006 "NA" 7384 2,16 2,35 "NA"
249 "NA" "NA" 92,5 86 93,1 101615 21382 2040056 "NA" 6225 3,72 3,76 "NA"
250 "NA" "NA" 92,7 88 92,9 132598 29092 2072858 "NA" 5360 3,9 4,65 "NA"
251 "NA" "NA" 92,9 89,9 92,8 "NA" "NA" 2093888 "NA" 3715 3,87 4,71 "NA"
252 "NA" "NA" 93 77,5 92,7 "NA" "NA" 2075659 "NA" 3383 16,55 4,92 "NA"
253 "NA" "NA" 94,4 83,6 93,6 "NA" "NA" 2091329 "NA" 2987 3,48 3,68 "NA"
254 "NA" "NA" 94,6 83,4 93,8 "NA" "NA" 2067830 "NA" 3461 3,26 3,7 "NA"
255 "NA" "NA" 94,6 86,7 93,7 "NA" "NA" 2039130 "NA" 4402 4,72 3,93 "NA"
256 "NA" "NA" 94,9 80,1 93,8 "NA" "NA" 1967980 "NA" 5383 3,47 4,25 "NA"
257 "NA" "NA" 95,2 88,3 93,9 "NA" "NA" 1902166 "NA" 5983 4,25 4,35 "NA"
