"Obs" "costesal" "indcsal" "ipc" "ipi" "ipri" "mtur" "mvic" "paroreg" "pernhot" "valojhot" "vpoinic" "vpoterm" "epaact"
1 383,21 28,9 17,5 57 17,7 48602 10439 471119 5946154 1198 12,28 14,4 14650,1
2 418,2 31,5 17,5 58,2 18,2 42331 8572 483530 6032398 1198 16,04 14,62 14876
3 446,91 33,7 17,6 61,1 18,3 55121 10222 488254,01 7096321 1534 15,51 14,1 14966,3
4 478,23 36,1 17,8 60,4 18,3 45002 8846 487555,01 9126935 2093 12,42 15,33 15015
5 430,66 32,5 18 59,9 18,4 53608 10130 494845 12744946 2391 13,45 12,55 15065,1
6 471,31 35,5 18,1 59,5 18,4 45945 8709 506892,01 13734266 2183 16,66 17,15 15215,5
7 508,14 38,3 18,1 56,7 18,5 49821 9290 534813,01 15742125 2629 14,21 19,07 15144,8
8 548,68 41,4 18,2 39,6 18,6 36967 8230 547842,01 17821232 3036 8,27 9,27 15179,7
9 482,68 36,4 18,3 61,3 18,7 35288 8314 569295,01 15194387 2736 14,9 15,42 15194
10 515,54 38,8 18,4 66 18,7 46017 9015 599502,01 11999421 2153 7,37 16,5 15330,8
11 542,8 40,9 18,4 62 18,8 44190 9308 629862,01 6174837 1300 21,27 14,52 15378,2
12 599,83 45,2 18,5 60,6 19,1 47544 8309 661759,01 5453086 1160 28,5 22,39 15421,9
13 536,19 40,4 18,8 57,2 19,4 47643 11544 702667,01 6387106 1204 13,16 18,64 15410,4
14 570,35 43 19 58,9 19,7 39716 8362 744884,01 6567478 1196 15,4 14,01 15487,7
15 591,41 44,6 19,3 63,4 20 46422 8379 776690,01 7857346 1648 16,28 13,16 15541,6
16 648,64 48,9 19,6 62,6 20,5 50404 8166 787599,01 9064264 1888 20,75 13,65 15526,1
17 604,37 45,6 19,8 63,9 20,8 50643 9549 780318,01 12094995 2377 19,86 14,95 15534,4
18 634,38 47,9 20 62,5 21,1 41744 7584 801300,01 13450653 2373 34,87 16,23 15680,4
19 666,02 50,2 20,1 63,3 21,3 56412 8368 821780,01 15623962 2801 18,56 18,17 15668,1
20 708,29 53,4 20,3 41,5 21,4 36192 6612 833505,01 17849574 3034 13,21 6,76 15629,2
21 640,83 48,3 20,4 65,3 21,5 30697 6995 858303,01 14837882 2817 19,97 15,57 15669
