"Obs" "airp" "epaact" "iai" "ipc" "ipi" "ipri" "licof" "mtur" "mvic" "paroreg" "pcemen" "pernhot" "valorpr" "vpoinic" "vpoterm"
1 15240 0 105,43 103,1 98,6 89,4 18961,93 1697 364 74547 107402 69370 420445 67 126
2 14216 0 109,09 103,1 96,6 89,7 36006,63 2340 430 74010 113394 64826 457875 228 190
3 17255 781 101,41 103,4 102 89,9 60870,51 2438 410 76332 101067 82106 471963 293 316
4 24092 789,2 104,02 103,9 91,9 90,2 101096,2 2725 406 76761 84378 85682 562181 112 412
5 22314 778,3 103,6 104 105,6 90,3 30236,92 3821 381 76709 104101 101846 601722 308 602
6 27279 784,8 103,02 104,2 102,8 90 66622,2 2358 427 78250 88063 85191 618988 165 238
7 28625 787,2 99,47 104,6 102,1 90,4 56921,86 2785 366 80534 89617 133989 604673 170 478
8 28826 782,5 64,61 105,4 37,9 90,4 45178,08 0 0 81478 87897 198323 678615 207 260
9 26825 787,7 67,47 105,9 99,1 90,5 48483,64 0 0 85426 77149 138284 659449 254 227
10 21802 793,2 108,08 106,4 100,3 90,5 36944,21 3043 307 86331 100440 100617 767684 208 125
11 11828 790,5 122,09 106,6 104,8 90,2 38993,66 2583 384 88232 85533 78799 730193 354 467
12 13098 788,2 101,42 107,3 85,6 90 25428,82 2272 231 89138 74766 74991 920252 173 322
13 13363 786,1 101,59 108,3 103 93,2 31210,56 1868 363 88802 63566 69639 729358 86 230
14 20377 791,4 110,23 108,3 100,4 93,5 22459,82 2157 380 89073 96416 69881 764181 304 189
15 18947 797,4 100,9 108,7 93,8 93,8 78347,94 2541 381 89480 155806 88607 798926 188 390
16 16500 799,6 104,02 109,2 99,7 94 130107,1 2561 396 87898 111627 91787 892918 451 392
17 18281 798 100,21 109,2 104,6 94,2 40532,26 3103 352 87085 122093 94155 734714 221 545
18 17922 793,7 103,42 109,4 100 93,8 56939,89 2661 420 88168 124039 103760 740669 318 448
19 22990 798,9 95,41 109,9 103,7 94,3 132354,91 2757 430 91050 85571 129187 756308 302 235
20 57235 801,1 60,01 110,6 37,6 94,2 135113,5 1403 224 91507 85223 174703 885796 252 306
21 20654 797 71,41 111 96,7 94,3 79423,75 1856 335 95658 71713 129604 698244 122 178
22 17783 798,2 102,73 111,4 105,5 94,3 166468,3 2123 358 98942 76237 106590 795266 149 194
23 9896 807,9 108,29 111,4 99,2 94,1 309521,31 2181 342 100477 91596 78779 812009 328 235
24 8571 807,5 98,23 112,1 86,4 93,8 247172,2 2520 246 102273 108816 73442 944250 434 306
25 61194 799,6 93,12 113,4 92,7 99,2 400658,69 2134 451 107192 122352 64111 731642 343 265
26 59616 798,5 103,88 113,8 100,9 99,55 93373,23 2473 362 105494 135488 75335 870439 76 208
27 69548 809,7 100,59 114,6 101,7 99,77 93012,63 3125 448 100206 94132 97865 870590 245 265
28 72213 817,3 97,66 115,1 95,3 100,08 176481,2 2753 439 102380 114219 99183 1055250 219 369
29 78197 815,3 100,03 115,2 98,6 100,21 44072,21 2869 407 102440 127952 105000 838453 270 101
30 70471 813,1 102,14 115,3 102,5 99,85 117251,5 3301 453 103994 122727 107016 917770 139 536
31 73542 814,8 100,42 115,4 101 100,35 173902,8 3043 309 106033 124769 152609 919267 104 260
32 64321 814,8 63,13 115,9 38,3 100,29 255051,5 1538 249 106833 112915 185655 1038664 102 147
33 68590 820,2 72,54 116,2 96,9 100,38 102743 1903 341 111428 110282 122424 816043 160 195
34 80892 822,2 106,06 116,5 98,3 100,36 90043,63 2489 354 118259 107867 107646 978472 160 165
35 65992 825,6 109,39 116,7 91,8 100,11 288323,59 2770 408 123221 122982 87136 950441 232 252
