"Obs" "airp" "epaact" "iai" "ipc" "ipi" "ipri" "licof" "mtur" "mvic" "paroreg" "pcemen" "pernhot" "valorpr" "vpoinic" "vpoterm"
36 63704 821 102,32 117,1 77,8 99,85 150126,8 2493 406 124146 116750 74265 1158799 156 216
37 51963 821,1 98,49 118 81,6 101,97 179468,2 2701 476 114147 106654 70266 953416 171 77
38 60260 818 105,17 118,3 86,6 101,73 95134,21 2497 387 112809 76684 75287 1086859 137 131
39 62017 811,1 112,99 118,9 93 101,57 173506,2 3192 472 113589 104722 83359 1089334 205 415
40 66393 817,7 107,03 119,6 83,7 101,28 134999,3 3086 421 118114 92734 100401 1204729 330 135
41 68820 816,3 106 119,9 93,7 101,31 65089,61 3533 461 117738 104327 105758 1020495 654 330
42 72381 814,6 107,19 119,7 94,5 101,17 90993,23 2864 388 117050 125166 102217 1161270 346 376
43 84070 816,6 105,34 120 97,7 101,42 115809 3181 500 116594 91520 150872 1176932 258 120
44 64241 827,5 61,63 120,3 40 101,29 229526,5 1855 379 118105 80154 179825 1348328 113 82
45 80326 828,8 78,25 120,6 95,9 101,05 56981,96 2575 428 124524 108837 121494 1124692 230 115
46 77453 818,4 109,38 120,8 95,7 101,29 128207,9 3723 544 124583 77041 127474 1306324 204 197
47 62812 842 106,59 120,8 98,2 101,08 161401,8 3268 533 129778 66440 88403 1370053 352 324
48 55192 849,8 107,15 121,2 87,2 101,16 233535,3 3025 490 129921 61994 84090 1633762 145 131
49 59968 852 107,65 121,8 82,7 102,39 96444,41 3173 637 132419 69352 73119 1258467 105 251
50 60277 856,6 112,19 121,8 93,9 102,27 143792,09 2387 465 134448 68606 91027 1710792 272 173
51 65074 855,4 112,35 122 102,9 102,14 256794,41 2839 486 134344 79230 98302 1437810 48 157
52 71144 863 112,97 122 92,7 102,18 245645,7 3352 408 139505 90071 99347 1824060 252 259
53 68681 857,2 108,32 122,1 102,3 102,16 123742,4 3576 504 139258 86677 108681 1432035 206 241
54 77651 860,4 109,67 122 103,5 102,31 228456,7 2750 402 139311 88086 109425 1767630 356 498
55 84376 863 107,47 122,3 101,1 102,37 274927 3809 432 139326 94365 168161 1602920 326 477
56 65575 868,4 69,94 122,9 44,9 102,45 326241,41 2030 300 139753 91386 185386 1803064 49 163
57 80794 866,8 76,88 123,5 103,7 102,48 213515,59 1847 487 145648 94687 137990 1477517 200 110
58 81607 868,8 109,9 123,2 101,3 102,68 213473,5 2626 511 145596 98710 106228 1753981 158 392
59 69653 884,4 106,04 123,5 107,4 102,93 283701,81 2306 408 144859 80566 90808 1764688 360 228
60 65888 890,1 101,39 123,9 95 102,95 115941,2 2317 288 147951 77251 90512 "NA" 238 326
61 57149 888,1 98,42 124,5 100,6 103,41 171652 2578 511 148756 58873 83206 "NA" 419 164
62 64977 887,2 114,46 124,1 102,8 103,16 275442 2493 491 147067 84761 75287 "NA" 114 100
63 67748 895,3 109,47 124,2 114,6 102,93 401808 3417 459 147717 92177 90845 "NA" 362 266
64 75086 892,2 107,42 124,5 93,8 102,97 287233 3526 507 150978 76982 115069 "NA" 76 197
65 77760 883,8 102,58 124,8 114,2 102,89 130126 2742 600 148991 75614 125606 "NA" 38 201
66 84979 895,1 108,92 125,1 114,4 102,62 247068 2644 495 152336 79676 124306 "NA" 92 302
67 94480 898,3 99,13 125,6 103,7 102,66 337617 4235 623 154550 64733 159709 "NA" 102 252
68 72401 900 67,53 126 48,8 102,38 385945 1691 401 150413 67491 174727 "NA" 43 76
69 88388 907,9 78,35 126,2 105,9 102,35 149157,9 2054 430 152606 71360 153758 "NA" 278 118
70 85132 904,2 103,37 126,2 105,8 101,79 364224,9 3471 588 153365 73771 135862 "NA" 276 134
71 80298 911,8 106,82 126,3 105,3 101,42 263338,4 2691 597 156174 67340 108250 "NA" 112 185
72 70527 913,8 103,54 126,8 88,5 101,16 440173,9 2915 708 154751 56673 88514 "NA" 180 143
73 67935 913,8 98,45 127,5 104,9 101,89 291029,2 1612 466 158845 47156 76933 "NA" 81 128
74 76416 910,6 113,45 127,5 104,5 101,37 360645 2552 518 160871 60964 83703 "NA" 73 153
75 89142 917,1 103,36 127,9 111,1 101,74 170480 3604 523 162506 63042 89345 "NA" 211 158
76 89137 920,9 95,25 128,3 101,7 101,99 "NA" 3156 676 162696 68796 104605 "NA" 93 402
77 92241 909,3 105,92 128,4 113,5 102,03 "NA" 4063 702 162645 75915 123300 "NA" 320 426
78 94074 909,8 102,73 128,4 106,8 102,49 "NA" 4337 660 160069 83623 115940 "NA" 6 159
79 105765 909,3 92,12 129 112,6 103,41 "NA" 4951 754 160338 83441 162159 "NA" 65 738
80 84933 907,5 59,42 129,5 48,2 103,69 "NA" 2099 441 158080 80557 166221 "NA" 37 48
81 103025 896,1 79,75 129,8 109 104,42 "NA" 2521 514 166360 79202 157465 "NA" 64 208
82 102201 900,5 102,66 129,7 121 104,55 "NA" 4313 876 170083 101632 119877 "NA" 57 65
83 96343 912,4 110,17 130 112,6 105,26 "NA" 3499 722 171533 82815 95893 "NA" 88 16
84 83775 908,6 98,88 130,6 101,2 105,95 "NA" 3518 726 171590 70299 95947 "NA" 463 196
85 77288 913,6 93 131,1 108,6 106,94 "NA" 2900 657 178262 62194 82180 "NA" 12 34
86 82127 917,4 107,84 131,4 100,9 107,59 "NA" 3439 750 180161 69220 89842 "NA" 0 121
87 106374 921,7 105,76 131,8 109,6 108,38 "NA" 4582 834 180434 95996 104596 "NA" 0 80
88 95659 928,5 102,65 132,4 123,3 108,41 "NA" 4489 816 179960 56538 132686 "NA" 0 40
89 106808 921,1 98,02 132,6 121,4 109,1 "NA" 4704 852 178232 119005 129551 "NA" 0 57
90 109993 924,3 97,68 133 123 109,68 "NA" 3980 794 176080 114941 118333 "NA" 32 97
91 130931 930,4 99,41 133,8 127,2 109,44 "NA" 5750 977 177538 99018 178542 "NA" 30 378
92 105266 923,8 60,73 134,4 52,3 109,91 "NA" 2331 529 174144 96507 188637 "NA" 1 43
93 125170 937,4 77,17 134,7 123,9 110,83 "NA" 2891 687 179856 90927 147545 "NA" 0 0
94 116693 936,9 101,27 134,9 133,7 111,75 "NA" 3971 876 184786 92847 135250 "NA" 58 150
95 107876 942,3 95,23 135,1 123,2 111,26 "NA" 3762 919 186234 81632 101099 "NA" 1 65
96 95595 948,4 86,68 135,6 113,3 110,21 "NA" 4124 796 185686 82259 70785 "NA" 597 266
97 98914 947,1 83,72 135,9 117,4 110,33 "NA" 4002 894 188294 83535 87541 "NA" 16 110
98 102082 957,4 92,12 136,5 121,9 110,64 "NA" 4022 876 187276 78958 87042 "NA" 0 23
99 119732 960,5 94,37 137,1 133,7 110,54 "NA" 5067 1055 184556 87205 134308 "NA" 0 0
100 133425 969,2 93,55 137,8 122,9 110,75 "NA" 3459 796 182194 85018 115144 "NA" 91 166
101 119615 958,6 88,56 138,2 132,1 110,89 "NA" 5267 963 178900 91511 133446 "NA" 81 514
102 123591 963,8 93,89 138,8 136,9 110,84 "NA" 5145 1005 175192 94799 132736 "NA" 0 170
103 154638 970,6 90,44 139,3 143,1 110,64 "NA" 5405 994 174438 91577 180556 "NA" 0 0
104 129348 972,9 61,64 139,7 57,4 110,62 "NA" 3122 681 170079 80189 206663 "NA" 0 2
105 146101 970,7 77,65 139,9 136,2 110,33 "NA" 3494 746 169366 89320 162540 "NA" 0 16
106 132613 970,9 96,73 139,8 138,9 109,4 "NA" 4292 940 169572 98805 143040 "NA" 6 16
107 111042 985,1 94,25 139,6 135,3 108,62 "NA" 4214 981 168289 94522 116368 "NA" 0 12
108 102584 986,9 94,75 140,1 120,6 108,7 "NA" 4584 878 166774 81539 90828 "NA" 213 0
109 101683 984,6 85,08 "NA" 120,7 109,35 "NA" 3951 1066 167901 77570 91228 "NA" 97 103
110 86151 996,4 94,97 "NA" 127,7 109,54 "NA" 5166 1045 165389 91407 102883 "NA" 72 176
111 107829 1005,4 100,64 "NA" 140,9 110,45 "NA" 5330 1090 164024 105641 111800 "NA" 0 32
112 138517 1004 103,47 "NA" 124,6 110,1 "NA" 4729 1030 162060 91125 153630 "NA" 0 8
113 114949 "NA" 96,64 "NA" 133,7 110,96 "NA" 5049 927 160050 94514 129742 "NA" 174 0
114 137547 "NA" 103,81 "NA" 138,9 110,55 "NA" 6196 1182 156400 100331 130512 "NA" 316 0
115 170528 "NA" 96,41 "NA" 143,6 110,25 "NA" 5423 1022 152017 101257 143048 "NA" 0 94
116 142948 "NA" 67,46 "NA" 58,6 110,79 "NA" 3019 709 148718 85746 195694 "NA" 21 0
117 161701 "NA" 82,69 "NA" 138,4 111,33 "NA" 3751 886 147714 106041 134585 "NA" 1 0
118 142458 "NA" 106,78 "NA" 132 110,91 "NA" 4440 1019 148843 112411 155134 "NA" 128 24
119 127137 "NA" 101,75 "NA" 143,9 110,52 "NA" 4264 987 147795 105771 114655 "NA" 103 32
120 115098 "NA" 102,57 "NA" 127,4 111,3 "NA" 4553 891 146522 91450 86689 "NA" 350 20
121 113009 "NA" 98,41 "NA" 131,4 112,67 "NA" 4061 1136 146246 95357 84526 "NA" 0 12
122 114634 "NA" 106,37 "NA" 142,1 113,67 "NA" 3887 989 147024 102752 84750 "NA" 465 213
123 130703 "NA" 111,62 "NA" 153,5 113,75 "NA" 5033 1154 147080 114890 108504 "NA" 0 230
124 157238 "NA" 114,8 "NA" 124,1 112,41 "NA" 4237 908 145321 91872 121584 "NA" 0 85
125 137337 "NA" 69,99 "NA" 150,7 111,56 "NA" 5060 1159 142895 124804 109174 "NA" 144 183
126 187163 "NA" 146,94 "NA" 150 111,44 "NA" 4686 1063 141444 112296 123979 "NA" 82 115
127 180918 "NA" 105,53 "NA" 142,1 111,83 "NA" 5046 1049 137756 109846 156407 "NA" 0 152
128 159274 "NA" 70,21 "NA" 64,6 112,28 "NA" 2938 639 136832 97985 170890 "NA" 0 0
129 173126 "NA" 98,67 "NA" 140,8 111,79 "NA" 2648 755 141088 108992 142516 "NA" 32 0
130 141907 "NA" 107,62 "NA" 140,8 112,08 "NA" 3814 1007 142203 91677 116468 "NA" 240 231
131 120521 "NA" 114,61 "NA" 148,9 112,09 "NA" 3283 928 137269 111878 117408 "NA" 115 59
132 118980 "NA" 101,04 "NA" 125,9 112,11 "NA" 3231 846 134281 85254 82412 "NA" 783 63
133 106519 "NA" 100,43 "NA" 140,43 "NA" "NA" 3551 969 136146 92668 79751 "NA" 33 188
134 112149 "NA" 115,18 "NA" 134,2 "NA" "NA" 3362 850 136195 99586 86071 "NA" 67 298
135 141501 "NA" 113,36 "NA" 147,53 "NA" "NA" 3953 927 135304 97346 98640 "NA" 0 328
136 158355 "NA" 104,37 "NA" 124,42 "NA" "NA" 4005 918 133468 103980 119123 "NA" 12 171
137 135030 "NA" 111,67 "NA" 151,88 "NA" "NA" 4489 1000 130584 108403 116594 "NA" 98 84
138 144665 "NA" 109,21 "NA" 149,26 "NA" "NA" 4424 935 128959 132633 129390 "NA" 80 106
139 164252 "NA" 102,8 "NA" 144,48 "NA" "NA" 4892 894 125825 104084 139691 "NA" 41 135
140 154745 "NA" 73,91 "NA" 67,54 "NA" "NA" 2386 579 124418 89520 169592 "NA" 44 111
141 156537 "NA" 92,01 "NA" 140,25 "NA" "NA" 2886 734 131064 107078 149318 "NA" 168 155
142 138720 "NA" 114,65 "NA" 149,97 "NA" "NA" 3895 947 131916 114034 132461 "NA" 188 35
143 124081 "NA" 120,81 "NA" 145,31 "NA" "NA" 3277 821 130186 122390 97155 "NA" 116 107
144 120888 "NA" 99,25 "NA" 118,61 "NA" "NA" 3457 843 129232 105269 77038 "NA" 237 140
145 105838 "NA" 106,76 "NA" 138,48 "NA" "NA" 4274 894 129323 83194 82304 "NA" 226 130
146 114127 "NA" 110,06 "NA" 135,23 "NA" "NA" 4105 913 129285 102727 88884 "NA" 150 74
147 152280 "NA" 101,27 "NA" 129,54 "NA" "NA" 4605 894 127771 107991 114794 "NA" 118 119
148 151991 "NA" 121,96 "NA" 138,52 "NA" "NA" 4297 861 125611 85490 114991 "NA" 127 35
149 142563 "NA" 122,21 "NA" 146,46 "NA" "NA" 4173 782 121198 107703 137422 "NA" 151 84
150 153642 "NA" 117,83 "NA" 137,95 "NA" "NA" 4895 939 119108 104660 136892 "NA" 162 334
151 169698 "NA" 113,46 "NA" 147,96 "NA" "NA" 5258 986 116476 104150 170955 "NA" 118 87
152 147207 "NA" 85,37 "NA" 64,16 "NA" "NA" 1916 444 114676 86919 190273 "NA" 136 99
153 164972 "NA" 102,03 "NA" 140,64 "NA" "NA" 3136 730 119706 88742 154412 "NA" 180 152
154 151612 "NA" 128,36 "NA" 154,49 "NA" "NA" 4088 879 123109 93904 143300 "NA" 0 3
155 129831 "NA" 127,32 "NA" 142,92 "NA" "NA" 3803 854 124171 97522 109448 "NA" 430 170
156 129003 "NA" 112,56 "NA" 120,49 "NA" "NA" 4681 870 125370 83620 95697 "NA" 139 413
157 122556 "NA" 116,92 "NA" 132,85 "NA" "NA" 2049 481 128135 95237 84104 "NA" 274 4
158 126957 "NA" 114,08 "NA" 138,01 "NA" "NA" 2938 574 131103 104925 95255 "NA" 0 110
159 151961 "NA" 129,71 "NA" 145,43 "NA" "NA" 3271 729 134313 100262 114606 "NA" 658 64
160 173204 "NA" 124,77 "NA" 131,71 "NA" "NA" 2984 613 133448 95529 129655 "NA" 0 24
161 155062 "NA" 124,53 "NA" 144,77 "NA" "NA" 3423 523 132154 110127 149035 "NA" 317 262
162 161354 "NA" 131,47 "NA" 142,26 "NA" "NA" 3892 712 132071 117524 160900 "NA" 270 82
163 179297 "NA" 125,96 "NA" 149,9 "NA" "NA" 4296 751 130903 130266 191814 "NA" 72 132
164 160822 "NA" 89,5 "NA" 66,1 "NA" "NA" 1885 450 129061 89970 222312 "NA" 328 292
165 176028 "NA" 112,07 "NA" 143,28 "NA" "NA" 2491 619 130866 89550 179650 "NA" 75 261
166 166684 "NA" 133,23 "NA" 154,48 "NA" "NA" 2921 612 136728 102211 158176 "NA" 136 181
167 126035 "NA" 120,35 "NA" 144,73 "NA" "NA" 2707 658 139872 97258 133257 "NA" 36 184
168 139892 "NA" 129,69 "NA" "NA" "NA" "NA" 3600 719 142187 83536 105177 "NA" 105 75
169 134656 "NA" 123,58 "NA" "NA" "NA" "NA" 2729 489 146112 77785 96189 "NA" 540 398
170 137273 "NA" 114,66 "NA" "NA" "NA" "NA" 3286 640 146922 95092 104628 "NA" 0 148
171 166291 "NA" 123,81 "NA" "NA" "NA" "NA" 4678 797 146743 118250 121517 "NA" 117 50
172 178552 "NA" 153,04 "NA" "NA" "NA" "NA" 3863 582 145759 95948 141882 "NA" 248 113
173 163575 "NA" 136,65 "NA" "NA" "NA" "NA" 4988 632 141989 124745 143073 "NA" 99 94
174 178266 "NA" 152,94 "NA" "NA" "NA" "NA" 5030 720 138901 115979 148959 "NA" 95 60
175 205581 "NA" 145,37 "NA" "NA" "NA" "NA" 5131 704 135098 119301 195778 "NA" 405 100
176 171604 "NA" 112,65 "NA" "NA" "NA" "NA" 2936 479 134240 101976 222083 "NA" 42 224
177 198648 "NA" 114,59 "NA" "NA" "NA" "NA" 3279 547 136204 116660 183605 "NA" 3 141
178 186133 "NA" 66,87 "NA" "NA" "NA" "NA" 3923 640 137291 121397 156719 "NA" 202 300
179 166118 "NA" 150,69 "NA" "NA" "NA" "NA" 3624 674 138122 116603 128002 "NA" 40 238
180 155220 "NA" 158,21 "NA" "NA" "NA" "NA" 5154 917 136125 110408 104211 "NA" 314 180
181 151634 "NA" 134,66 "NA" "NA" "NA" "NA" 2447 541 138079 94948 100971 "NA" 217 127
182 158648 "NA" 154,27 "NA" "NA" "NA" "NA" 3061 623 137961 99790 109519 "NA" 0 361
183 197930 "NA" 162,5 "NA" "NA" "NA" "NA" 4432 812 136426 113162 143262 "NA" 0 87
184 200881 "NA" 168,49 "NA" "NA" "NA" "NA" 3043 652 134372 110864 149519 "NA" 66 92
185 181049 "NA" 144,44 "NA" "NA" "NA" "NA" 3756 798 131930 108594 172403 "NA" 240 496
186 197697 "NA" 162,58 "NA" "NA" "NA" "NA" 4896 779 129407 123450 166456 "NA" 62 210
187 221195 "NA" 157,85 "NA" "NA" "NA" "NA" 3327 711 125473 120028 201343 "NA" 256 40
188 191715 "NA" 132,88 "NA" "NA" "NA" "NA" 2164 481 124589 111957 232127 "NA" 193 12
189 215740 "NA" 101,1 "NA" "NA" "NA" "NA" 2700 542 128392 119303 192368 "NA" 64 32
190 209821 "NA" 149,93 "NA" "NA" "NA" "NA" 3205 736 128673 118999 166436 "NA" 36 0
191 182687 "NA" 164,9 "NA" "NA" "NA" "NA" 3238 797 128966 116487 136576 "NA" 19 72
192 178509 "NA" 171,7 "NA" "NA" "NA" "NA" 4078 848 126495 112166 103125 "NA" 404 373
193 160777 "NA" 129,09 "NA" "NA" "NA" "NA" 2601 673 129217 112645 103360 "NA" 70 108
194 169116 "NA" 155,38 "NA" "NA" "NA" "NA" 3022 624 128607 108453 105413 "NA" 0 60
195 201972 "NA" 147,94 "NA" "NA" "NA" "NA" 3925 776 127369 130555 145251 "NA" 12 78
196 230436 "NA" 154,56 "NA" "NA" "NA" "NA" 3295 682 122303 118342 139728 "NA" 252 113
197 197838 "NA" 141,9 "NA" "NA" "NA" "NA" 3973 825 118413 135463 174242 "NA" 301 131
198 212538 "NA" 155,2 "NA" "NA" "NA" "NA" 3870 741 115848 134205 166649 "NA" 327 66
199 229734 "NA" 156,34 "NA" "NA" "NA" "NA" 4865 773 111841 137828 194983 "NA" 188 162
200 198206 "NA" 131,81 "NA" "NA" "NA" "NA" 2383 474 110090 114389 238840 "NA" 8 18
201 228807 "NA" 100,44 "NA" "NA" "NA" "NA" 2922 639 114394 126330 212162 "NA" 387 40
202 220261 "NA" 150,28 "NA" "NA" "NA" "NA" 3886 962 117122 137781 194689 "NA" 274 220
203 201385 "NA" 152,48 "NA" "NA" "NA" "NA" 3410 828 119251 131273 142879 "NA" 98 688
204 183712 "NA" 143,58 "NA" "NA" "NA" "NA" 4645 1042 117783 108779 128457 "NA" 338 358
205 163240 "NA" 127,04 "NA" "NA" "NA" "NA" 3206 850 120637 100243 123407 "NA" 181 10
206 183707 "NA" 154,9 "NA" "NA" "NA" "NA" 3207 715 121866 87539 130863 "NA" 96 139
207 209066 "NA" 142,25 "NA" "NA" "NA" "NA" 4418 859 118465 126823 188151 "NA" 271 295
208 215911 "NA" 138,82 "NA" "NA" "NA" "NA" 4419 910 114418 142430 183681 "NA" 109 32
209 210531 "NA" 151,46 "NA" "NA" "NA" "NA" 4422 915 111240 140344 217321 "NA" 389 103
210 225097 "NA" 154,8 "NA" "NA" "NA" "NA" 4612 904 108332 140731 206364 "NA" 86 395
211 253196 "NA" 143 "NA" "NA" "NA" "NA" 5786 1043 104047 131568 240280 "NA" 208 160
212 231123 "NA" 126,91 "NA" "NA" "NA" "NA" 2719 638 104294 112660 305700 "NA" 62 78
213 252727 "NA" 105,86 "NA" "NA" "NA" "NA" 3420 703 108557 136540 249684 "NA" 156 35
214 242963 "NA" 158,05 "NA" "NA" "NA" "NA" 4869 976 110957 141315 233598 "NA" 133 63
215 217753 "NA" 160,14 "NA" "NA" "NA" "NA" 4195 853 112373 125479 190860 "NA" 258 30
216 194305 "NA" 149,54 "NA" "NA" "NA" "NA" 5441 1121 109443 125436 149925 "NA" 861 156
217 177458 "NA" 123,32 "NA" "NA" "NA" "NA" 3616 870 110425 105944 144704 "NA" 123 48
218 199570 "NA" 152,11 "NA" "NA" "NA" "NA" 4445 925 108435 138220 172837 "NA" 95 125
219 247885 "NA" 140,96 "NA" "NA" "NA" "NA" 5211 1032 105401 139467 201835 "NA" 122 54
220 249223 "NA" 159,42 "NA" "NA" "NA" "NA" 4932 950 100795 134165 232858 "NA" 177 0
221 263057 "NA" 142,37 "NA" "NA" "NA" "NA" 4913 940 95924 143750 238390 "NA" 535 17
222 267471 "NA" 151,61 "NA" "NA" "NA" "NA" 5846 1058 93505 150065 245434 "NA" 84 205
223 285211 "NA" 147,32 "NA" "NA" "NA" "NA" 6896 1105 89722 153427 308823 "NA" 196 100
224 254157 "NA" 130,46 "NA" "NA" "NA" "NA" 2880 593 91647 142838 361499 "NA" 74 115
225 271584 "NA" 102,77 "NA" "NA" "NA" "NA" 3728 780 92529 132724 305753 "NA" 0 200
226 268084 "NA" 152,13 "NA" "NA" "NA" "NA" 5372 1050 93743 132861 275499 "NA" 170 114
227 226108 "NA" 162,8 "NA" "NA" "NA" "NA" 5438 1162 94137 140485 214790 "NA" 196 354
228 206885 "NA" 145,52 "NA" "NA" "NA" "NA" 6639 1217 93686 120008 167066 "NA" 196 240
229 198526 "NA" "NA" "NA" "NA" "NA" "NA" 4345 994 95799 128257 147691 "NA" 192 34
230 208286 "NA" "NA" "NA" "NA" "NA" "NA" 5282 1120 95399 123688 169689 "NA" 248 185
231 236863 "NA" "NA" "NA" "NA" "NA" "NA" 6885 1336 91858 146104 212641 "NA" 747 107
232 260502 "NA" "NA" "NA" "NA" "NA" "NA" 5382 1072 87821 148986 238095 "NA" 180 111
233 266396 "NA" "NA" "NA" "NA" "NA" "NA" 6237 1165 84004 161555 272669 "NA" 151 152
234 253023 "NA" "NA" "NA" "NA" "NA" "NA" 7230 1340 81808 162362 261686 "NA" 104 230
235 271345 "NA" "NA" "NA" "NA" "NA" "NA" 7704 1469 80044 160111 315648 "NA" 355 569
236 260440 "NA" "NA" "NA" "NA" "NA" "NA" 3298 739 81974 142561 323605 "NA" 124 68
237 263269 "NA" "NA" "NA" "NA" "NA" "NA" 4369 971 82672 150535 273971 "NA" 297 93
238 245061 "NA" "NA" "NA" "NA" "NA" "NA" 5302 1139 83048 155997 247433 "NA" 651 34
239 213626 "NA" "NA" "NA" "NA" "NA" "NA" 5429 1302 83642 140906 199830 "NA" 394 276
240 187469 "NA" "NA" "NA" "NA" "NA" "NA" 6230 1323 82779 126490 157667 "NA" 252 186
241 179348 "NA" "NA" "NA" "NA" "NA" "NA" 4401 1075 85787 124642 149770 "NA" 852 280
242 192932 "NA" "NA" "NA" "NA" "NA" "NA" 5802 1247 85876 134958 164230 "NA" 165 206
243 224079 "NA" "NA" "NA" "NA" "NA" "NA" 6568 1471 82704 161947 190889 "NA" 145 256
244 243629 "NA" "NA" "NA" "NA" "NA" "NA" 5041 1026 77995 151350 212410 "NA" 317 70
245 234219 "NA" "NA" "NA" "NA" "NA" "NA" 6343 1270 74943 152839 236667 "NA" 86 303
246 241827 "NA" "NA" "NA" "NA" "NA" "NA" 6803 1341 73629 162926 243360 "NA" 273 343
247 280929 "NA" "NA" "NA" "NA" "NA" "NA" 6256 1047 72684 165761 293417 "NA" 89 181
248 259318 "NA" "NA" "NA" "NA" "NA" "NA" 3576 783 74977 147055 321519 "NA" 120 48
249 268702 "NA" "NA" "NA" "NA" "NA" "NA" 4033 818 74647 146061 258532 "NA" 30 96
250 255530 "NA" "NA" "NA" "NA" "NA" "NA" 4797 1098 75989 156020 242462 "NA" 218 30
251 220006 "NA" "NA" "NA" "NA" "NA" "NA" 4787 1153 76549 158114 226059 "NA" 204 804
252 209345 "NA" "NA" "NA" "NA" "NA" "NA" 4427 928 77153 153472 164314 "NA" 1455 82
253 200560 "NA" "NA" "NA" "NA" "NA" "NA" 4658 1109 80669 149965 148661 "NA" 270 531
254 216368 "NA" "NA" "NA" "NA" "NA" "NA" 5077 1189 79398 159706 166089 "NA" 233 193
255 235535 "NA" "NA" "NA" "NA" "NA" "NA" 6189 1332 76340 170522 230156 "NA" 136 120
256 264715 "NA" "NA" "NA" "NA" "NA" "NA" 5022 911 73023 177401 208881 "NA" 124 226
257 257375 "NA" "NA" "NA" "NA" "NA" "NA" 6260 1161 69827 164507 261620 "NA" 343 10
258 290179 "NA" "NA" "NA" "NA" "NA" "NA" 6717 1184 68929 171757 256183 "NA" 1326 425
259 330269 "NA" "NA" "NA" "NA" "NA" "NA" 7034 976 69411 183402 285754 "NA" 724 373
260 309218 "NA" "NA" "NA" "NA" "NA" "NA" 3645 719 71281 157493 351682 "NA" 106 168
